offer_id,offer_url,updated_time,title,price,price_info,address,metro_station,neighborhood,district,description,distance,price_value,rental_period,utilities_type,commission_info,deposit_info,commission_value,deposit_value,status,unpublished_date
316418720,https://www.cian.ru/rent/flat/316418720/,2025-04-17 12:58:00,Привлекательная квартира и место?,90 000 ₽/мес.,"От года, комм. платежи включены (счётчики включены), комиссия 50%, залог 90 000 ₽","Кутузовский проспект, 24",м. Студенческая,р-н Дорогомилово,ЗАО,"Рассмотрим любые предложения, национальность значения не имеет. Сталинский дом, квартира после евроремонта, на полу паркет, на стенах обои в светлых тонах. Кухня встроенная со всей бытовой техникой. Мебель новая в современном стиле, один санузел совмещенный (ванна). Высота потолка 3.2м. Окна пластиковые, выходят ВСЕ на Кутузовский проспект, при закрытых окнах тишина, балкон, 2 кондиционера. Хороший подъезд - домофон, парковка на огороженной территори, въезд во двор через шлагбаум.

Арт. 28620401",3.2,90000.0,От года,комм. платежи включены (счётчики включены),комиссия 50%,залог 90 000 ₽,,,active,--
316415667,https://www.cian.ru/rent/flat/316415667/,2025-04-17 12:28:00,"2-комн. квартира, 65 м², 2/7 этаж",85 000 ₽/мес.,"От года, комм. платежи включены (без счётчиков), комиссия 60%, залог 45 000 ₽","Саввинская набережная, 19С1А",м. Киевская,р-н Хамовники,ЦАО,"Сдается прекрасная квартира в сталинском доме со свежим евроремонтом. Большие площади, так как это трехкомнатная квартира, но сдаются 2 комнаты (третья будет закрыта). Вид из окна на Москва-реку. Закрытый двор со шлагбаумом. В квартире есть все необходимое для комфортного проживания. Дополнительно оплачиваются счетчики. Пешая доступность 3 станций метро, у дома есть остановка автобуса. Также рядом Новодевичий монастырь и парк.",0.52,85000.0,От года,комм. платежи включены (без счётчиков),комиссия 60%,залог 45 000 ₽,,,active,--
316415509,https://www.cian.ru/rent/flat/316415509/,2025-04-17 12:13:00,"2-комн. квартира, 71 м², 3/8 этаж",85 000 ₽/мес.,"От года, комм. платежи включены (счётчики включены), комиссия 60%, залог 50 000 ₽","Большая Серпуховская улица, 62",м. Шаболовская,р-н Даниловский,ЮАО,"Сдаётся уютная двухкомнатная квартира в Москве на Большой Серпуховской улице. Общая площадь — 71 кв. м, жилая — 30 кв. м, кухня — 10 кв. м. Квартира находится на 3 этаже 8-этажного кирпичного дома 1960 года постройки. Потолки высокие, 3 метра, что добавляет пространства и света. Окна выходят во двор, поэтому в квартире всегда тихо и спокойно.

В квартире косметический ремонт, что делает её свежей и уютной. Есть вся необходимая мебель: и на кухне, и в комнате. Для вашего комфорта установлены кондиционер, холодильник, телевизор и стиральная машина. В санузле — душевая кабина. Балкон также в наличии, что приятно для любителей свежего воздуха.

Дом в хорошем состоянии, с пассажирским лифтом и наземной парковкой.

В пешей доступности находятся школы, детские сады, клиники и магазины. До метро ""Серпуховская"" всего 10 минут пешком, что удобно для поездок по городу.
 Квартира подходит для проживания пары или семьи.

Приглашаем вас на просмотр! Записывайтесь, чтобы оценить все достоинства этой квартиры лично.",5.14,85000.0,От года,комм. платежи включены (счётчики включены),комиссия 60%,залог 50 000 ₽,,,active,--
316414607,https://www.cian.ru/rent/flat/316414607/,2025-04-17 12:00:00,"Студия, 14 м², 1/3 этаж",65 000 ₽/мес.,"От года, комм. платежи включены (без счётчиков), без комиссии, залог 33 000 ₽","Садовая-Кудринская улица, 21С4",м. Баррикадная,р-н Пресненский,ЦАО,"Выгодное предложение: проживание в центре в 3-х минутах от Патриарших прудов (через Садовое кольцо)
- БЕЗ комиссий (от собственника),
- депозит 50%
- заключаем договор, даем отчетные документы

Наша двухуровневая студия оформлена в стиле европейского минимализма с максимально комфортными условиями для проживания ОДНОГО человека.

КОМПАКТНАЯ СТУДИЯ вмещает жилую зону, кухонный блок, санузел. Она оснащена всем необходимым, включая стиральную машинку, холодильник, микроволновку, индукционную плиту, электрический чайник, постельные и банные принадлежности, посуду, столовые и кухонные приборы.

Наша студия находится на Садовом кольце в тихом уютном дворике, поэтому шум большого города не слышен. 
До ближайших станций метро Маяковская, Баррикадная, Краснопресненская пешком от 7 до 12 минут.

В 5 минутной доступности от нашей студии расположены отделения крупнейших российских банков, аптеки, почта, сетевые продуктовые магазины: ВкусВилл, Магнолия, Перекресток, Пятерочка. 

Есть много возможностей для проведения досуга: большое количество кафе и ресторанов, зеленая зона вокруг пруда, несколько крупных театров, филармония, зал Чайковского, планетарий, зоопарк.

Спокойные соседи. Адекватный собственник.

По платежам:
33 000 рублей - депозит
65 000 руб/мес - аренда 
2 000 р/мес - коммунальные по счетчикам в конце месяца

Ждем вас в нашей уютной Студии у Патриарших.
Звоните. Заезжайте в тот же день.",3.8,65000.0,От года,комм. платежи включены (без счётчиков),без комиссии,залог 33 000 ₽,,,active,--
316412463,https://www.cian.ru/rent/flat/316412463/,2025-04-17 11:28:00,"2-комн. квартира, 43 м², 8/14 этаж",70 000 ₽/мес.,"От года, комм. платежи включены (без счётчиков), комиссия 50%, залог 70 000 ₽","улица Шаболовка, 16К2",м. Шаболовская,р-н Якиманка,ЦАО,"Предлагается в аренду уютная квартира, рядом с метро. Есть все необходимое для комфортного проживания. Депозит делим на два месяца, оперативный показ. Звоните.",3.81,70000.0,От года,комм. платежи включены (без счётчиков),комиссия 50%,залог 70 000 ₽,,,active,--
316412120,https://www.cian.ru/rent/flat/316412120/,2025-04-17 11:29:00,"1-комн. квартира, 31 м², 2/4 этаж",75 000 ₽/мес.,"От года, комм. платежи включены (без счётчиков), комиссия 50%, залог 75 000 ₽","улица Заморенова, 5С2",м. Краснопресненская,р-н Пресненский,ЦАО,"- Оперативный показ, ЗАСЕЛЕНИЕ В ДЕНЬ ПРОСМОТРА.   
- Собственник будет на просмотре и подписании договора.   
         
- Уважаемые наниматели, ВНИМАНИЕ! Каждое животное обговаривается в индивидуальном порядке!   
- Уважаемые наниматели, ВНИМАНИЕ! ДЕТИ дошкольного возраста обговариваются в индивидуальном порядке !   
         
Отличная квартира по отличной цене. Великолепный вид из окна. Холодильник, телевизор, встроенная кухня, Интернет, Wi-Fi. Рядом есть все магазины, аптеки, школа, детский сад. Метро в пешей доступности.   
  
         
Сдаём на длительный срок.   
При взаимной симпатии залог разбивается на два месяца!   
У собственника могут быть дополнительные пожелания к жильцам.",3.17,75000.0,От года,комм. платежи включены (без счётчиков),комиссия 50%,залог 75 000 ₽,,,active,--
316408108,https://www.cian.ru/rent/flat/316408108/,2025-04-17 10:06:00,"2-комн. квартира, 45 м², 12/12 этаж",93 000 ₽/мес.,"На несколько месяцев, комм. платежи включены (без счётчиков), без комиссии, залог 60 000 ₽","улица Красная Пресня, 23С1А",м. Улица 1905 года,р-н Пресненский,ЦАО,"Сдается 2-комнатная уютная квартира с косметическим ремонтом
 Адрес: г. Москва, Красная пресня, 23к1а
 Площадь: 45 м²
 Комнат: 2

Условия аренды:
- От 6 месяцев
- Без комиссии
- Аренда: 90 т. руб./мес + коммуналка по квитанции (+- 4-6 тыс руб.)
- Депозит — 1 месяц (60 тыс. руб.)
- Можно с кошками
- Курить запрещено
- Для автомобилистов - парковочное место во дворе
- Временная регистрация возможна (для оформления в школу или сад)
- Иностранным гражданам — постановка на миграционный учёт
- Возможна аренда для юрлиц с оформлением договора с самозанятым (выставляются счета и чеки об оплате (+10 тыс. руб. к аренде).

Показ квартиры (по предварительной договоренности):
- Среда с 18:00 до 21:00
- Воскресенье с 9:00 до 12:00

О квартире:
Светлая и уютная квартира с свежим косметическим ремонтом, полностью готова к комфортному проживанию:
- Изолированные комнаты
- Полностью меблирована
- В гостиной — раздвижной диван с топпингами (удобные спальные места)
- Просторная кухня с техникой: плита, духовка, холодильник, микроволновка
- Стиральная машина, телевизор
- Окна во двор — тишина
- Wi-Fi подключён

 О доме и районе:
Кирпичный дом, чистый подъезд
Всего 5 квартир на этаже
Нет проблем с лифтами даже в час пик — людей немного
Закрытая, безопасная территория, въезд по пропускам.
В шаговой доступности — школа и детский сад
До метро Краснопресненская — 8 минут пешком,  м. ул. 1905 года - 4 мин..
Рядом — магазины, аптеки, вся инфраструктура",3.78,93000.0,На несколько месяцев,комм. платежи включены (без счётчиков),без комиссии,залог 60 000 ₽,,,active,--
316395123,https://www.cian.ru/rent/flat/316395123/,2025-04-17 10:39:00,"1-комн. квартира, 54 м², 29/38 этаж",100 000 ₽/мес.,"От года, комм. платежи включены (без счётчиков), комиссия 50%, залог 100 000 ₽","Хорошевское шоссе, 12к1",м. Улица 1905 года,р-н Хорошевский,САО,"ЖК Дом на Беговой. 
Просторная квартира общей площадью 54 кв.м. Два санузла с постирочной. Большая гардеробная комната. Кухня оборудована всей бытовой техникой, включая посудомоечную. 
29 этаж, панорамный вид на Москву. Вечером можно любоваться неоновым светом Москва-сити, а в праздники - салютами. 
В ЖК обеспечена безопасность проживания: огороженная охраняемая территория, круглосуточное видеонаблюдение. 
На первых этажах расположен торговый центр с большим выбором магазинов, уютных ресторанов и кафе, а также салоны красоты, фитнес-центр World Class, многопрофильный медцентр и стоматология. 
Для пешеходов одна минута до метро. Для автомобилистов - легкий выезд на Третье транспортное кольцо и ул. Беговая. Паркинг во дворе.",6.27,100000.0,От года,комм. платежи включены (без счётчиков),комиссия 50%,залог 100 000 ₽,,,active,--
316388679,https://www.cian.ru/rent/flat/316388679/,2025-04-16 19:20:00,"1-комн. квартира, 32,8 м², 4/5 этаж",75 000 ₽/мес.,"От года, комм. платежи включены (без счётчиков), комиссия 50%, залог 75 000 ₽","2-й Добрынинский переулок, 5/9",м. Октябрьская,р-н Якиманка,ЦАО,"Представляем вашему вниманию уютную однокомнатную квартиру в самом сердце Москвы. Тихий двор в глубине двора. Пешая доступность до нескольких станций метро. Квартира общей площадью 32.8 кв. м находится на 4 этаже 5-этажного кирпичного дома, построенного в 1957 году. Высокие потолки 2.7 метра создают ощущение простора, а окна, выходящие во двор, обеспечивают тишину и спокойствие.

Квартира с качественным свежим ремонтом, что позволит вам сразу заехать и наслаждаться комфортом. В комнате и на кухне есть вся необходимая мебель. Кухня площадью 6 кв. м оснащена современной техникой, включая холодильник и стиральную машину. Совмещенный санузел оборудован ванной, что делает проживание еще более удобным.

Дом в хорошем состоянии, с наземной парковкой. Во дворе шлагбаум, жители дома паркуются бесплатно. Находится в районе с развитой инфраструктурой: всего в 6 минутах пешком от метро Добрынинская. Рядом есть университеты, школы, детские сады, клиники и магазины, что делает его идеальным выбором для семьи или активных людей, ценящих удобство городской жизни.

Условия аренды: минимальная комиссия агентства, залог обсуждается можно разбить на 2 части. Квартира готова принять одного или двух жильцов. Все юридические моменты оформляются быстро и прозрачно.

Не упустите возможность снять эту уютную квартиру! Звоните и записывайтесь на просмотр. Мы будем рады ответить на все ваши вопросы и организовать удобное время для встречи.",3.97,75000.0,От года,комм. платежи включены (без счётчиков),комиссия 50%,залог 75 000 ₽,,,active,--
316387264,https://www.cian.ru/rent/flat/316387264/,2025-04-17 08:50:00,"1-комн. квартира, 36 м², 5/14 этаж",50 000 ₽/мес.,"От года, комм. платежи включены (без счётчиков), комиссия 80%, залог 50 000 ₽","Люсиновская улица, 12",м. Октябрьская,р-н Замоскворечье,ЦАО,"Номер лота - 3520568
На длительный срок сдается однокомнатная квартира в пешей доступности от двух станций метро. В квартире вся необходимая мебель и бытовая техника. Окна ПВХ.

 ИНКОМ-Октябрьское поле.",4.52,50000.0,От года,комм. платежи включены (без счётчиков),комиссия 80%,залог 50 000 ₽,,,active,--
